"","Var1","Freq"
"1","Abhd8",1
"2","AC164564.3",2
"3","Acin1",1
"4","Actb",1
"5","Actn4",1
"6","Adcy6",2
"7","Adh1",1
"8","Adk",1
"9","Adrb2",1
"10","Aff1",1
"11","Agpat4",2
"12","Ahnak",1
"13","Ak2",1
"14","Akap13",1
"15","Akap9",1
"16","Akr1c14",1
"17","Alas1",3
"18","Aldoa",1
"19","Ankrd13a",1
"20","Anks4b",1
"21","Anxa2",1
"22","Arhgap12",1
"23","Arhgap15",1
"24","Arhgap5",1
"25","Arhgef12",1
"26","Atp1a1",1
"27","Atp5g3",1
"28","Atp8b1",1
"29","Atxn1l",1
"30","B3galt5",2
"31","B3gnt7",2
"32","B4galnt2",2
"33","Bdp1",1
"34","Bsg",1
"35","Btnl4",1
"36","Btnl5-ps",1
"37","Btnl6",1
"38","CAAA01224633.1",2
"39","Calr",1
"40","Camk1d",1
"41","Capn2",1
"42","Car13",1
"43","Car2",1
"44","Casz1",2
"45","Cdc123",1
"46","Cdh17",1
"47","Cdh18",1
"48","Cdhr5",1
"49","Cdk16",1
"50","Cdk2ap2",1
"51","Ceacam1",5
"52","Ceacam20",1
"53","Cfl1",1
"54","Ckmt1",2
"55","Cnnm4",1
"56","Cog1",1
"57","Coq10b",1
"58","Coq3",1
"59","Cox8a",1
"60","Crip1",1
"61","Crtc2",1
"62","Ctnnd1 RP23-387F9.7",1
"63","Cyb5r3",1
"64","Cyp2c55",1
"65","Cyp4f14",1
"66","Cyp51",1
"67","Dad1",1
"68","Dcaf15",1
"69","Ddx3x",1
"70","Dnajc22",1
"71","Dnmbp",1
"72","Dock7",1
"73","Dsp",1
"74","Dst",1
"75","Dstn",3
"76","Duox2",1
"77","Dyrk1b",1
"78","Edem1",1
"79","Efl1",1
"80","Eif4a1",1
"81","Eif4ebp3 Ankhd1",1
"82","Eif4g1",1
"83","Elf3",1
"84","Emp1",1
"85","Entpd7",1
"86","Ep300",1
"87","Epcam",1
"88","Eps8l3",1
"89","Ezr",1
"90","Fam160b2",1
"91","Fam43a",1
"92","Fhdc1",1
"93","Fosl2",1
"94","Frmd4b",1
"95","Fryl",1
"96","Fxr2",1
"97","Gas2l3",1
"98","Gfm1",1
"99","Ggnbp2",1
"100","Gm22042",1
"101","Gm22456",1
"102","Gm23143",1
"103","Gm23152 Prex1",1
"104","Gm23212 Gas5",1
"105","Gm23238",1
"106","Gm23246 Snhg1",1
"107","Gm23279",1
"108","Gm23330 Dnajc5b",1
"109","Gm23502",1
"110","Gm23510 Frmd4b",1
"111","Gm23511",2
"112","Gm23540 Zmpste24",2
"113","Gm23680",1
"114","Gm23686 Cyp7b1",2
"115","Gm23806 Map7d2",1
"116","Gm23999 Cacna2d3",1
"117","Gm24044 Rpsa",1
"118","Gm24525 Zfp804b",1
"119","Gm25099",1
"120","Gm25555 Zfp811",1
"121","Gm25587",1
"122","Gm25682 RP23-245C15.1",1
"123","Gm26264",1
"124","Gm26400",1
"125","Gmds",3
"126","Gnb2l1",1
"127","Gpa33",1
"128","Gpatch8",1
"129","Gpd2",1
"130","Gsn",1
"131","H2-K1",1
"132","Hdlbp",1
"133","Hectd1",1
"134","Hist1h1c",1
"135","Hist1h1d",2
"136","Hist1h2bc",1
"137","Hist1h4d",1
"138","Hk2",1
"139","Hmga2",1
"140","Hmgcr",1
"141","Hmgcs2",2
"142","Hmox2",1
"143","Hnrnpul2",1
"144","Hoxb6",1
"145","Hp1bp3",1
"146","Hsd3b3",1
"147","Hspa5",1
"148","Il22ra1",1
"149","Iqgap2",1
"150","Itga5",1
"151","Jarid2",2
"152","Junb",1
"153","Jund",2
"154","Jup",1
"155","Kcnh7",1
"156","Kcnk5",1
"157","Kctd20",1
"158","Kdm5a",1
"159","Kdm6b Tmem88",1
"160","Klf4",2
"161","Krt18",1
"162","Krt19",4
"163","Krt20",2
"164","Krt8",1
"165","Lgals3",1
"166","Lgals4",2
"167","Lima1",1
"168","Lmtk2",1
"169","Lrrfip1",1
"170","Ltn1",1
"171","Lypd8",3
"172","Mal",1
"173","Malat1",8
"174","Maml3",1
"175","Manf",1
"176","Maoa",3
"177","Map2k1",1
"178","Map3k13",1
"179","Map3k9",1
"180","Map7",1
"181","Mapk14",1
"182","Mat2a",3
"183","Me2",1
"184","Mecom",1
"185","Med1",1
"186","Mgat4a",1
"187","Mier2",1
"188","Misp",1
"189","Mlph",1
"190","Ms4a8a",1
"191","mt-Ta",1
"192","Muc13",4
"193","Myh14",2
"194","Myh2",1
"195","Myh9",1
"196","Mylk",1
"197","Myo1a",1
"198","Myo7b",1
"199","n-R5s13",1
"200","n-R5s150",1
"201","n-R5s152",1
"202","n-R5s205",1
"203","n-R5s210",1
"204","n-R5s217",1
"205","n-R5s25",1
"206","n-R5s28",1
"207","n-R5s40 Gtpbp1",1
"208","n-R5s46",1
"209","n-R5s58",1
"210","n-R5s60",1
"211","n-R5s62",1
"212","n-R5s65 RP23-218E7.2",1
"213","n-R5s69 Galnt10",1
"214","n-R5s72",1
"215","n-R5s86",1
"216","n-R5s90 Stac",1
"217","Nagpa",1
"218","Ndufv3",1
"219","Neat1",2
"220","Nedd4",1
"221","Nlrc5",1
"222","Nlrp6",1
"223","Nmnat1",1
"224","Nol12",1
"225","Npat",1
"226","Nr3c2",1
"227","Ogdh",1
"228","P4hb",1
"229","Pakap",1
"230","Parm1",1
"231","Parp1",1
"232","Pax6os1",1
"233","Pck1",1
"234","Pcnxl3",1
"235","Pdcd6ip",1
"236","Pfn1",1
"237","Pigr",2
"238","Pim3",1
"239","Plagl2",1
"240","Plec",1
"241","Plxdc2",1
"242","Pmp22",1
"243","Pnn",1
"244","Pold3",1
"245","Ppard",1
"246","Ppib",1
"247","Ppnr Tcf7l2",1
"248","Ppp1cb",1
"249","Ppp1r15b",2
"250","Ppp2r4",1
"251","Prkar1a",1
"252","Prom1",1
"253","Prr13",1
"254","Prss30",1
"255","Prss32",2
"256","Psmb7",1
"257","Ptcd2",1
"258","Ptprh",1
"259","Raly",1
"260","Rasd1",1
"261","Rbm47",2
"262","Rdh13",1
"263","Reg3b",1
"264","Rhob",1
"265","Rnf213",1
"266","RP23-127E21.1",1
"267","RP23-192C21.1",1
"268","RP23-283N14.2",1
"269","RP23-310J6.1",1
"270","RP23-424C4.5",1
"271","RP23-465K20.5",1
"272","RP23-468D17.1",1
"273","RP23-67J22.4",1
"274","RP23-85E24.3",1
"275","RP24-288B1.2",1
"276","RP24-342G5.6",1
"277","Rps6ka3",1
"278","S100a16",1
"279","Satb2",1
"280","Sdhc",1
"281","Sdhd",1
"282","Selenbp1",2
"283","Sema4g",1
"284","Serinc3",1
"285","Sfn",1
"286","Sgk1",1
"287","Sh3bgrl",1
"288","Shisa9",1
"289","Slc12a6",1
"290","Slc13a2",1
"291","Slc26a2",3
"292","Slc26a3",1
"293","Slc38a2",1
"294","Slc9a3",1
"295","Smpd3",1
"296","Snx27",1
"297","Son",1
"298","Sort1",1
"299","Sp100",1
"300","Spg20",1
"301","Sptbn1",2
"302","Srek1",1
"303","Srsf9",1
"304","Ssbp3",1
"305","St14",1
"306","St3gal4",1
"307","Stat2",1
"308","Styk1",1
"309","Suclg1",1
"310","Sycn",1
"311","Taf4",1
"312","Tap1",1
"313","Tapbp",1
"314","Tbl1xr1",1
"315","Tcf7l2",1
"316","Tgoln1",1
"317","Tmbim6",1
"318","Tmem206",1
"319","Tmem45b",2
"320","Tmem86a",1
"321","Tmprss2",1
"322","Tpi1",1
"323","Trp53inp1",1
"324","Trpv6",1
"325","Tsc22d1",1
"326","Ttc39b",1
"327","Ttll6",1
"328","Ubc",2
"329","Ube3a",1
"330","Ugt1a6a",1
"331","Unc119b",1
"332","Upp1",1
"333","Utp14b",2
"334","Vbp1",1
"335","Vil1",4
"336","WI1-166E14.1",1
"337","Zdhhc6",1
